indy_code	indy_text
0000	All Industries
0169	Agriculture, forestry, fishing, and hunting
0170	Crop production
0180	Animal production and aquaculture
0190	Forestry, except logging
0270	Logging
0280	Fishing, hunting, and trapping
0290	Support activities for agriculture and forestry
0368	Nonagriculture industries
0369	Mining, quarrying, and oil and gas extraction
0370	Oil and gas extraction
0380	Coal mining
0390	Metal ore mining
0470	Nonmetallic mineral mining and quarrying
0480	Not specified type of mining
0490	Support activities for mining
0569	Utilities
0570	Electric power generation, transmission, and distribution
0580	Natural gas distribution
0590	Electric and gas, and other combinations
0670	Water, steam, air-conditioning, and irrigation systems
0680	Sewage treatment facilities
0690	Not specified utilities
0770	Construction
1068	Nondurable goods manufacturing
1069	Food manufacturing
1070	Animal food, grain, and oilseed milling
1080	Sugar and confectionery products
1090	Fruit and vegetable preserving and specialty food manufacturing
1170	Dairy product manufacturing
1180	Animal slaughtering and processing
1190	Retail bakeries
1270	Bakeries and tortilla manufacturing, except retail bakeries
1280	Seafood and other miscellaneous foods, n.e.c.
1290	Not specified food industries
1369	Beverage and tobacco products
1370	Beverage manufacturing
1390	Tobacco manufacturing
1469	Textiles, apparel, and leather
1470	Fiber, yarn, and thread mills
1480	Fabric mills, except knitting
1490	Textile and fabric finishing and coating mills
1570	Carpet and rug mills
1590	Textile product mills, except carpets and rugs
1670	Knitting mills
1680	Cut and sew apparel manufacturing
1690	Apparel accessories and other apparel manufacturing
1770	Footwear manufacturing
1790	Leather tanning and products, except footwear manufacturing
1869	Paper and printing
1870	Pulp, paper, and paperboard mills
1880	Paperboard container manufacturing
1890	Miscellaneous paper and pulp products
1990	Printing and related support activities
2069	Petroleum and coal products
2070	Petroleum refining
2090	Miscellaneous petroleum and coal products
2169	Chemicals
2170	Resin, synthetic rubber and fibers, and filaments manufacturing
2180	Agricultural chemical manufacturing
2190	Pharmaceutical and medicine manufacturing
2270	Paint, coating, and adhesive manufacturing
2280	Soap, cleaning compound, and cosmetics manufacturing
2290	Industrial and miscellaneous chemicals
2369	Plastics and rubber products
2370	Plastics product manufacturing
2380	Tire manufacturing
2390	Rubber product, except tire, manufacturing
2467	Manufacturing (1070-3990)
2468	Durable goods manufacturing
2469	Nonmetallic mineral products
2470	Pottery, ceramics, and related product manufacturing
2480	Clay building material and refractories manufacturing
2490	Glass and glass product manufacturing
2570	Cement, concrete, lime, and gypsum product manufacturing
2590	Miscellaneous nonmetallic mineral product manufacturing
2669	Primary metals and fabricated metal  products
2670	Iron and steel mills and steel product manufacturing
2680	Aluminum production and processing
2690	Nonferrous metal, except aluminum, production and processing
2770	Foundries
2780	Metal forgings and stampings
2790	Cutlery and hand tool manufacturing
2870	Structural metals and tank and shipping container manufacturing
2880	Machine shops; turned product; screw, nut, and bolt manufacturing
2890	Coating, engraving, heat treating and allied activities
2970	Ordnance
2980	Miscellaneous fabricated metal product manufacturing
2990	Not specified metal industries
3069	Machinery manufacturing
3070	Agricultural implement manufacturing
3080	Construction, mining, and oil field machinery manufacturing
