"Mining, quarrying, and oil and gas extraction",17,77,2.4,10.2
Construction,439,"1,531",4.7,16.6
Nonmetallic mineral products,26,38,5.1,10
Primary and fabricated metal products,55,198,3.1,11.3
Machinery manufacturing,35,166,2.7,13.3
Computer and electronic products,8,35,0.8,3.5
Electrical equipment and appliances,1,34,0.3,8.2
Transportation equipment,51,588,1.9,24.9
Wood products,5,16,1.1,4.1
Furniture and related products,35,86,8.2,20.7
Miscellaneous manufacturing,49,255,3.1,17.5
Food manufacturing,137,173,6.7,10.1
Beverage and tobacco products,0,39,0,12
"Textile, apparel, and leather",14,122,2.5,26.3
Paper and printing,19,75,2.4,9.9
Petroleum and coal products,1,20,0.5,10.6
Chemicals,26,77,1.7,4.8
Plastics and rubber products,21,69,3.3,11.4
Wholesale trade,81,334,2.4,9.9
Retail trade,748,"2,889",4.7,18.6
Transportation and warehousing,236,957,3.7,15.2
Utilities,19,33,1.7,3.1
"Publishing, except Internet",19,16,5,4.4
Motion picture and sound recording industries,54,183,9.7,31.3
Broadcasting (except internet),4,13,0.8,2.8
Telecommunications,7,45,0.9,6
Finance,117,181,2.6,3.8
Insurance,48,108,1.7,3.9
Real estate,33,177,1.4,7.8
Rental and leasing services,12,79,3.1,27.2
Professional and technical services,230,673,2,5.8
Administrative and support services,353,972,6.2,18.7
Waste management and remediation services,14,49,2.9,11.4
Educational services,104,635,1.9,12.7
Hospitals,102,243,1.5,3.8
"Health services, except hospitals",205,"1,142",2.1,11.7
Social assistance,100,532,3.7,22.9
"Arts, entertainment, and recreation",136,"1,192",4.9,47.1
Accommodation,66,660,4.3,48.9
Food services and drinking places,445,"3,007",4.4,35.4
Repair and maintenance,32,254,2,15.9
Personal and laundry services,39,801,2,47.5
Membership associations and organizations,42,222,2,9.8
Private households,51,144,5.9,22.6
Agricultural and related private wage and salary workers(2),121,163,7.3,9.6
Government wage and salary workers,347,"2,017",1.6,9.4
"Self-employed workers, unincorporated, and unpaid family workers",208,886,2.2,9.7
